Year,Member Pledges,General Support-Unpledged,Campus Outreach/Fireflies Support,Grant Revenue (ABCOPAD),Music Endowment (B Alston),Meetings & Meals,Worship/Ministry/Flowers,Miscellaneous,Total Revenue,Salary-Pastor,PT-Sec  $15hr $300wk,PT-Music  $27+/hrx8hrsx52wks,FICA-Social Sec. Employer,Medicare Employer,Hospitalization-Minister,Retirement Exp-Minister,Auto/Hospitality - Minister,Total Personnel,Supplies-Office,Postage,Telephone/Internet/Website,Payroll Service,PayPal Credit Card Fees,Maint. Ofc. Equip-Copier,Bank Fees,Audit,Christmas Bonus Pool,Miscellaneous,Advertising,Meetings & Meals,Worship/Flowers/Coffee Hr,Music Rights/Supplies/Instr/Rep,Christian Educ incl Babysitter,Visiting Ministers 5 x $175,Educ/Conferences-Minister,Accompanist: Fill-in  5 @ $125,Music Support: $200/wk x 48 wks,CCO-Campus Ministry Coord,Outreach-Campus Minsitry,Outreach-Fireflies (Young Adult Group),Outreach-General,Total Admin/Program Expense,Total Mission Expense,Worship Ministry Revenue,Worship Ministry Expense,Worship (Deficit),"People needed sustain worship @ $1,200 ea",Grand Total Revenue,Grand Total Expense,Net Revenue less Expense,Control Total,Should = 0
1994-95,"69,191","7,844",,,,481,"1,498","1,016","80,030","19,518","19,486",0,"7,195",,0,"7,278","2,496","55,973","1,973","2,548","1,541",,,"2,643",,0,0,"2,900",0,"1,937","2,940",805,606,677,482,600,668,"6,000",,0,,"26,320",0,"91,513","159,191","-67,678",19 to 37,"261,833","271,161","-9,329","-50,799","41,471"
1995-96,"62,059","9,484",,,,"1,197","1,181",180,"74,101","19,560","19,840",0,"7,231",,0,"7,294","2,496","56,421","2,245","2,236","1,495",,,"3,026",,0,0,931,0,"1,611","2,745",377,21,"1,600",691,600,"1,773","6,220",,0,,"25,571",0,"82,536","164,329","-81,793",17 to 33,"244,843","301,340","-56,497","-56,497",0
1996-97,"64,854","6,270",,,,760,"1,192",807,"73,883","20,484","20,546",0,"6,647",,"1,481","7,495","2,496","59,149","1,825","1,827","1,634",,,"4,348",,0,0,661,"1,002","2,171","3,664",299,112,400,104,600,"2,465","2,600",,0,,"23,712",0,"80,603","164,539","-83,936",,"226,697","253,517","-26,820","-68,291","41,471"
1997-98,"58,763","11,980",,,,"1,132","1,115",1,"72,991","20,568","20,613",0,"6,182",,"1,960","6,865","2,496","58,684","1,113","2,055","1,616",,,"3,951",,0,0,700,20,"1,295","2,560",0,188,"1,200",310,525,"1,730","1,250",,"1,580",,"20,093",0,"80,861","147,950","-67,089",,"229,580","274,578","-44,998","-44,998",0
1998-99,"64,093","11,743",,,,785,556,215,"77,392","24,352","20,578","2,232","6,334",,"2,134","6,806","2,496","64,932","1,477","1,547","1,481",,,"5,105",,0,0,"1,115",165,"1,826","2,814",306,390,750,"1,118","1,080",645,"2,121",,"2,325",,"24,265",0,"84,448","158,508","-74,060",,"238,339","279,034","-40,695","-40,695",0
1999-00,"58,884","7,715",,,,"1,284",498,165,"68,546","24,696","20,641","3,348","6,018",,"2,521","7,307","2,496","67,027","1,164","2,117","2,412",,,"6,711",,0,0,"1,519",15,852,"1,962",831,193,450,650,510,435,"1,150",,397,,"21,368",0,"74,971","155,401","-80,430",,"237,282","194,849","42,432","-40,510","82,942"
2000-01,"50,274","9,911",,,,703,718,364,"61,970","24,696","20,649","3,349","5,408",,"2,432","7,558","2,496","66,588","2,084","2,825","2,707",,,"8,790",,0,0,"1,270","1,021","1,319","2,838","1,642",0,150,548,980,985,575,,"2,071",,"29,805",0,"69,961","152,934","-82,973",,"235,303","284,706","-49,403","-49,403",0
2001-02,"52,804","13,782",,,,0,675,668,"67,929","24,696","20,161","3,348","5,180",,"2,488","8,188","2,498","66,559","1,408","2,018","1,517",,,"6,011",,0,0,"1,392",166,630,"1,867",300,549,300,438,540,0,0,,"2,206",,"19,342",0,"78,776","145,185","-66,409",,"237,775","220,249","17,526","-23,945","41,471"
2002-03,"56,873","26,715",,,,126,610,137,"84,461","24,696","13,869","4,529","4,393",,"2,429","6,928","2,496","59,340","1,538","3,097","2,006",,,"6,654",,0,0,644,"3,908","1,251","1,262","1,131",99,400,636,720,150,402,,"2,067",,"25,965",0,"91,353","134,312","-42,959",,"243,745","245,464","-1,719","-1,719",0
2003-04,"61,027","11,355",,,,0,810,252,"73,444","24,696","10,533","7,826","2,106",,"2,858","7,558","2,496","58,073","1,658","2,200","2,002",,,"6,760",,0,0,724,"1,207",766,"1,946",331,0,0,808,280,"1,610",457,,"1,127",,"21,876",0,"77,870","123,270","-45,400",,"222,717","241,802","-19,085","-19,085",0
2004-05,"62,833","15,054",,,,146,731,-100,"78,664","25,275","11,579","8,535","1,967",,"3,380","7,558","2,496","60,790","2,280","1,827","1,786",,,"6,336",,0,0,865,50,"1,033","1,505",699,290,900,650,0,"2,570",300,,"1,664",,"22,755",0,"85,190","125,738","-40,548",,"250,473","235,729","14,744","14,744",0
2005-06,"75,221","22,429",,,,250,629,34,"98,563","26,256","11,799","8,955","3,454",,"4,014","7,558","2,704","64,740","2,056","1,947","1,268",,,"6,361",,0,0,265,0,905,"1,515",0,0,675,300,0,"2,300",0,,0,,"17,592",0,"103,079","126,292","-23,213",,"271,207","248,961","22,246","22,246",0
2006-07,"64,399","13,216",,,,413,886,0,"78,914","26,740","13,098","9,176","3,032",,"5,046","7,558","2,496","67,146","1,122","1,363","1,135",,,"6,480",,"4,940",0,41,39,240,"1,537",7,0,300,450,,"3,465",0,,0,,"21,119",0,"82,375","132,410","-50,035",,"264,416","256,553","7,863","7,863",0
2007-08,"70,313","7,981",,,2,301,825,58,"79,480","26,784","12,286","11,656","5,374",,"5,086","7,946","2,496","71,628","1,311","1,345","2,261",,,"6,078",,"4,935",0,59,0,503,"1,092",383,0,0,602,100,"14,380",0,,0,,"33,049",0,"82,088","139,383","-57,295",,"262,070","263,032",-962,-964,2
2008-09,"64,366","26,401",,,2,225,800,31,"91,824","26,784","12,482","12,005","1,680",393,"5,320","7,848","2,496","69,007","1,449","1,064","1,931",373,,"5,713",106,"5,001",0,60,0,425,"1,316",294,85,600,650,270,"10,680",0,,0,,"30,018",0,"91,824","134,632","-42,809",,"252,697","252,695",2,0,2
2009-10,"54,064","32,096",,,2,122,276,0,"86,560","26,784","12,028","11,880","1,878",439,"5,676","7,848","2,496","69,029","1,810","1,886","2,124",349,,"4,829",14,"5,215",0,196,0,178,808,856,0,850,410,400,"10,875",,,,,"30,799",0,"86,560","134,473","-47,913",,"265,505","265,503",2,0,2
2010-11,"58,531","34,151",,,0,232,165,0,"93,079","26,784","13,004","11,990","1,697",397,"6,133","7,848","2,496","70,348","1,577",658,"1,983",373,,"5,323",8,"5,217",0,"1,784",0,433,420,460,225,725,258,550,"11,700",,,,,"31,695",0,"93,079","125,210","-32,131",29,"258,321","258,321",0,0,0
2011-12,"59,821","40,546",,,"2,000",292,406,24,"103,090","26,784","13,024","12,220","1,663",389,"5,979","7,848","2,991","70,897","1,630",803,"1,974",400,,"5,127",7,"5,428",0,84,0,300,"1,360",110,294,450,395,400,"7,390",,,,,"26,152",0,"103,090","120,219","-17,129",16,"269,310","242,758","26,551",0,"26,551"
2012-13,"56,346","43,283",,,"2,000",257,108,0,"101,994","26,784","13,095","12,240","1,738",406,"7,061","7,848","3,036","72,208","1,882","1,111","1,894",423,,"5,191",2,"5,568",0,2,260,410,428,0,90,600,550,400,"8,350",,,,,"27,161",0,"101,994","122,319","-20,325",18,"273,755","236,086","37,669","37,671",-2
2013-14,"73,439","46,851",,,"2,200",225,142,0,"122,857","25,606","13,608","12,579","1,680",393,"1,245","1,308","2,277","58,695","1,062",188,"2,030",429,,"7,125",0,"5,600",0,0,0,474,787,807,45,"1,250",339,300,"10,450",,,,,"30,887",0,"122,857","108,465","14,392",,"288,899","277,363","11,537","11,537",0
2014-15,"47,788","50,242",,,"2,400","1,012",222,169,"101,833","41,483","13,512","12,844","1,667",390,0,0,"3,036","72,931","1,285",512,"2,192",449,,"4,196",33,"7,334",0,0,0,788,734,0,-45,"1,075",882,400,"11,900",,,,,"31,735",0,"101,833","124,071","-22,238",19,"277,034","275,457","1,577","1,577",0
 2015-16 ,"48,444","44,794",,,"2,400",77,44,0,"95,759","45,224","13,868","12,865","1,657",388,0,0,"2,551","76,552",927,441,"2,491",449,,"5,400",0,"5,152",0,118,0,271,627,124,0,"1,200",637,500,"11,050",,,,,"29,387",0,"95,759","123,838","-28,079",23,"346,666","342,881","3,784","3,784",0
 2016-17 ,"61,589","35,743",,,"2,200",50,16,"5,700","105,299","45,950","14,448","12,865","1,693",396,0,0,750,"76,102","1,224",517,"2,785",519,,"5,370",2,"5,240","1,000",140,"1,140",271,339,124,342,450,0,400,"9,800",,,,,"29,663",0,"105,299","123,186","-17,888",15,"358,057","325,825","32,232","32,232",0
