Date,attendance,visitorCards,homeSeekers,specialOccasion
1/3/2010,40,0,0,0
1/10/2010,72,3,2,1
1/17/2010,60,4,2,0
1/24/2010,55,1,0,0
1/31/2010,56,4,0,1
2/7/2010,10,0,0,0
2/14/2010,45,0,0,0
2/21/2010,56,1,0,0
2/28/2010,60,1,0,0
3/7/2010,48,1,1,0
3/14/2010,38,0,0,0
3/21/2010,44,4,1,0
3/28/2010,65,2,0,0
4/4/2010,80,6,0,1
4/11/2010,64,2,0,
4/18/2010,68,0,0,
4/25/2010,62,0,0,
5/2/2010,24,0,0,
5/9/2010,55,0,0,
5/16/2010,43,2,0,
5/23/2010,50,0,0,
5/30/2010,35,0,0,
6/6/2010,46,1,1,
6/13/2010,44,1,0,
6/20/2010,47,2,0,
6/27/2010,48,0,0,
7/4/2010,53,,,
7/11/2010,,,,
7/18/2010,48,2,1,
7/25/2010,38,1,0,
8/1/2010,41,0,0,
8/8/2010,42,3,1,
8/15/2010,43,1,0,
8/22/2010,42,0,0,
8/29/2010,63,4,0,
9/5/2010,51,4,1,
9/12/2010,53,0,0,
9/19/2010,55,0,0,
9/26/2010,43,0,0,
10/3/2010,64,1,0,
10/10/2010,44,1,1,
10/17/2010,55,0,0,
10/24/2010,60,0,0,
10/31/2010,50,1,1,
11/7/2010,52,0,0,
11/14/2010,59,0,0,
11/21/2010,61,2,0,
11/28/2010,48,0,0,
12/5/2010,34,1,0,
12/12/2010,52,1,1,
12/19/2010,53,0,0,
12/26/2010,,,,
1/2/2011,48,0,0,
1/9/2011,41,0,0,
1/16/2011,40,0,0,
1/23/2011,42,2,1,
1/30/2011,45,0,0,
2/6/2011,50,0,0,
2/13/2011,50,1,0,
2/20/2011,44,0,0,
2/27/2011,49,0,0,
3/6/2011,30,0,0,
3/13/2011,39,1,1,
3/20/2011,53,2,0,
3/27/2011,40,0,0,
4/3/2011,42,3,0,
4/10/2011,54,3,1,
4/17/2011,62,3,0,
4/24/2011,67,4,1,
5/1/2011,35,0,0,
5/8/2011,40,0,0,
5/15/2011,30,1,1,
5/22/2011,45,4,2,
5/29/2011,53,2,1,
6/5/2011,40,,,
6/12/2011,42,4,3,
6/19/2011,38,3,,
6/26/2011,46,2,,
7/3/2011,57,10,4,
7/10/2011,35,2,1,
7/17/2011,37,1,0,
7/24/2011,35,0,0,
7/31/2011,45,3,1,
8/7/2011,44,0,0,
8/14/2011,38,2,0,
8/21/2011,48,0,0,
8/28/2011,61,2,0,
9/4/2011,43,3,0,
9/11/2011,46,0,0,
9/18/2011,39,0,0,
9/25/2011,45,0,0,
10/2/2011,43,1,0,
10/9/2011,55,3,1,
10/16/2011,42,2,1,
10/23/2011,51,3,0,
10/30/2011,47,2,1,
11/6/2011,59,0,0,
11/13/2011,49,0,0,
11/20/2011,59,0,0,
11/27/2011,37,0,0,
12/4/2011,50,0,0,
12/11/2011,,,,
12/18/2011,50,0,0,
12/25/2011,,,,
1/1/2012,32,0,0,
1/8/2012,45,0,0,
1/15/2012,45,0,0,
1/22/2012,46,0,0,
1/29/2012,60,1,0,
2/5/2012,51,2,0,
2/12/2012,44,0,0,
2/19/2012,47,1,0,
2/26/2012,37,0,0,
3/4/2012,37,0,0,
3/11/2012,37,0,0,
3/18/2012,43,0,0,
3/25/2012,50,1,0,
4/1/2012,55,0,0,
4/8/2012,85,0,0,
4/15/2012,45,0,0,
4/22/2012,82,3,1,
4/29/2012,34,1,1,
5/6/2012,23,0,0,
5/13/2012,35,1,0,
5/20/2012,27,1,0,
5/27/2012,37,4,4,
6/3/2012,53,2,0,
6/10/2012,39,2,0,
6/17/2012,54,2,0,
6/24/2012,49,3,0,
7/1/2012,49,2,1,
7/8/2012,44,1,0,
7/15/2012,48,0,0,
7/22/2012,34,1,1,
7/29/2012,50,3,1,
8/5/2012,46,0,0,
8/12/2012,45,0,0,
8/19/2012,38,0,0,
8/26/2012,57,0,0,
9/2/2012,49,5,2,
9/9/2012,57,3,1,
9/16/2012,56,5,2,
9/23/2012,50,0,0,
9/30/2012,45,1,0,
10/7/2012,47,1,0,
10/14/2012,43,1,1,
10/21/2012,52,0,0,
10/28/2012,62,1,0,
11/4/2012,63,1,0,
11/11/2012,54,1,0,
11/18/2012,67,1,,
11/25/2012,40,,,
12/2/2012,61,,,
12/9/2012,55,4,,
12/16/2012,65,,,
12/23/2012,38,,,
12/30/2012,32,,,
1/6/2013,57,2,1,
1/13/2013,64,,,
1/20/2013,60,,,
1/27/2013,55,,,
2/3/2013,51,2,,
2/10/2013,58,,,
2/17/2013,59,2,,
2/24/2013,49,4,,
3/3/2013,52,1,,
3/10/2013,45,,,
3/17/2013,48,,,
3/24/2013,56,,,
3/31/2013,103,1,1,
4/7/2013,56,2,1,
4/14/2013,49,,,
4/21/2013,58,,,
4/28/2013,41,,,
5/5/2013,30,,,
5/12/2013,36,3,1,
5/19/2013,43,2,,
5/26/2013,45,2,1,
6/2/2013,52,,,
6/9/2013,57,6,,
6/16/2013,38,,,
6/23/2013,39,,,
6/30/2013,58,1,1,
7/7/2013,61,1,,
7/14/2013,40,1,1,
7/21/2013,46,,,
7/28/2013,51,6,3,
8/4/2013,61,2,1,
8/11/2013,43,6,4,
8/18/2013,44,6,4,
8/25/2013,53,1,2,
9/1/2013,41,1,,
9/8/2013,56,2,1,
9/15/2013,59,1,1,
9/22/2013,54,,,
9/29/2013,46,2,,
10/6/2013,66,1,,
10/13/2013,40,1,,
10/20/2013,51,2,2,
10/27/2013,62,,,
11/3/2013,54,1,,
11/10/2013,58,1,,
11/17/2013,52,,,
11/24/2013,47,,,
12/1/2013,32,,,
12/8/2013,50,1,,
12/15/2013,48,,,
12/22/2013,42,1,,
12/29/2013,41,,,
1/5/2014,48,2,,
1/12/2014,51,2,,
1/19/2014,55,,,
1/26/2014,38,,,
2/2/2014,49,,,
2/9/2014,53,,,
2/16/2014,48,,,
2/23/2014,50,,,
3/2/2014,36,,,
3/9/2014,36,,,
3/16/2014,32,2,1,
3/23/2014,53,1,2,
3/30/2014,50,,,
4/6/2014,51,1,1,
4/13/2014,54,1,,
4/20/2014,73,2,,
4/27/2014,44,,,
5/4/2014,21,2,,
5/11/2014,44,1,,
5/18/2014,36,,,
5/25/2014,32,,,
6/1/2014,36,,,
6/8/2014,42,2,,
6/15/2014,35,3,,
6/22/2014,44,1,,
6/29/2014,55,,,
7/6/2014,45,1,,
7/13/2014,45,3,,
7/20/2014,32,,,
7/27/2014,37,,,
8/3/2014,47,1,1,
8/10/2014,38,1,,
8/17/2014,38,3,1,
8/24/2014,50,4,2,
8/31/2014,40,2,,
9/7/2014,48,1,,
9/14/2014,54,4,1,
